"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Url
242684066372;;;;;Мята;Мята;;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;240.00;8;;;;20b446ce-b0ff-11e4-bb95-d850e60c1a0b;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/242684066372-myata
897071017542;;;;;"Кукуруза початки молодые 3100мл Южные дали (6шт/упак)";"Кукуруза початки молодые 3100мл Южные дали (6шт/упак)";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;840.00;13;;;;68c45ba4-089e-11f0-8122-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/897071017542-kukuruza-pochatki-molodie-3100ml-yuzhnie
659712090212;;;;;"Горошек 3100мл зеленый ЛОРАДО (4шт/упак)";"Горошек 3100мл зеленый ЛОРАДО (4шт/упак)";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;495.00;194;;;;0458c0de-5af5-11f0-8135-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/659712090212-goroshek-3100ml-zelenii-lorado-4shtupak
606256514572;;;;Рис;"Рис КАМАТА 25 кг гост высший сорт Премиум";"Рис КАМАТА 25 кг гост высший сорт Премиум";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;2140.00;737;;;;1c0d69c2-29c2-11ed-80d6-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/606256514572-ris-kamata-25-kg-gost-visshii-sort-premi
617835689732;;;;Морепродукты;"Лосось (8-9) СУПЕР охлажденный";"Лосось (8-9) СУПЕР охлажденный";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;1600.00;8;;;;b9335308-c152-11ed-80e4-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/617835689732-losos-8-9-super-ohlazhdennii
736614777992;;;;;"Печенье Кукис с шоколадом и кусочками белой глазури 70гр Retail (28шт/упак)";"Печенье Кукис с шоколадом и кусочками белой глазури 70гр Retail (28шт/упак)";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;43.00;21;;;;8431a96d-4c37-11f0-8134-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/736614777992-pechene-kukis-s-shokoladom-i-kusochkami
435567875162;;;;Морепродукты;"Лосось филе с/м Трим - С 1,3 - 1,8 г.";"Лосось филе с/м Трим - С 1,3 - 1,8 г.";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;1990.00;5;;;;7f57b88c-44f5-11f0-8131-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/435567875162-losos-file-sm-trim-s-13-18-g
360809520132;;;;;"Креветка коктейльная 0,5КГ 200/300 в/м, Fish &amp; More, 7%(10шт/уп)";"Креветка коктейльная 0,5КГ 200/300 в/м, Fish &amp; More, 7%(10шт/уп)";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;495.00;544;;;;50fc108b-88b8-11f0-813a-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/360809520132-krevetka-kokteilnaya-05kg-200300-vm-fish
621319422852;;;;Соусы;"Соус сладкий чили для курицы, Тамаки, 0,47 л.(6шт/уп)";"Соус сладкий чили для курицы, Тамаки, 0,47 л.(6шт/уп)";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;160.00;1;;;;d48e6a09-c4b9-11ec-80c9-18c04dc9ff66;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/tproduct/621319422852-sous-sladkii-chili-dlya-kuritsi-tamaki-0
289384206452;;00-00000074;;"Специи и приправы";"Базилик сушеный";"Базилик сушеный";;https://static.tildacdn.com/stor6530-6239-4736-b034-356463333063/55686283.png;260.00;23;;;;5eb36db3-d577-11e4-878b-d850e60c1a0b;;0;0;0;0;https://xn----7sbnkf1eg0g.xn--p1ai/catalog/tproduct/289384206452-bazilik-sushenii
